"Timestamp, ""WSpeed_Avg"", ""WSpeed_Max"", ""WSpeed_TMx"", ""WDir_AVG"", ""WDir_STD"", ""AirTemp_Min"", ""AirTemp_TMn"", ""AirTemp_Max"", ""AirTemp_TMx"", ""AirTemp_Avg"", ""RH_Min"", ""RH_TMn"", ""RH_Max"", ""RH_TMx"", ""RH"", ""Rain_Tot"", ""SlrW_Avg"", ""SlrW_Max"", ""SlrW_TMx"", ""SlrMJ_Tot"", ""TdewC_Avg"", ""TwetC_Avg"", ""HeatIndex_C_Max"", ""WindChill_Min"", ""Sunshine_Hrs_Tot"", ""Satured_Vapour_Pressure_AVG"", ""Vapour_Pressure_AVG"", ""Vpd_Avg"", ""ETos"", ""Rso"""
"2026/01/01 24:00, 2.4, 8.4, ""2026/01/01 01:59"", 243.8, 65.8, 15.4, ""2026/01/01 00:02"", 22.3, ""2026/01/01 08:54"", 18.0, 65.9, ""2026/01/01 08:41"", 100.0, ""2026/01/01 00:03"", 98.2, 3.2, 170.3, 1,500.8, ""2026/01/01 12:30"", 14.7, 16.0, 16.7, 22.3, 15.4, 4.0, 2.1, 1.8, 0.2, 2.4, 3.9"
"2026/01/02 24:00, 1.4, 7.7, ""2026/01/02 15:56"", 134.8, 70.1, 14.1, ""2026/01/02 02:40"", 25.1, ""2026/01/02 14:32"", 18.6, 62.5, ""2026/01/02 14:01"", 100.0, ""2026/01/02 01:41"", 99.1, 0.2, 292.3, 1,201.4, ""2026/01/02 09:44"", 25.3, 16.7, 17.3, 25.1, 14.1, 7.1, 2.2, 1.9, 0.3, 4.5, 3.9"
"2026/01/03 24:00, 1.6, 9.2, ""2026/01/03 14:50"", 128.9, 47.6, 14.4, ""2026/01/03 03:22"", 23.2, ""2026/01/03 12:51"", 17.9, 65.0, ""2026/01/03 12:51"", 100.0, ""2026/01/03 00:20"", 100.0, 0.0, 308.7, 1,367.8, ""2026/01/03 13:02"", 26.7, 15.6, 16.4, 23.2, 14.4, 8.5, 2.1, 1.8, 0.3, NAN, 3.9"
"2026/01/04 24:00, 1.2, 7.7, ""2026/01/04 15:57"", 117.4, 55.1, 11.7, ""2026/01/04 04:24"", 22.7, ""2026/01/04 15:01"", 16.8, 62.3, ""2026/01/04 14:19"", 100.0, ""2026/01/03 24:00"", 100.0, 0.0, 264.2, 1,187.6, ""2026/01/04 14:05"", 22.8, 14.7, 15.4, 22.7, 11.7, 8.0, 1.9, 1.7, 0.3, 3.9, 3.9"
"2026/01/05 24:00, 0.8, 12.9, ""2026/01/05 15:54"", 288.6, 75.8, 14.8, ""2026/01/05 01:53"", 23.6, ""2026/01/05 13:11"", 17.3, 72.6, ""2026/01/05 13:10"", 100.0, ""2026/01/04 24:00"", 95.3, 12.4, 162.6, 1,377.5, ""2026/01/05 11:30"", 14.0, 16.3, 16.6, 23.6, 14.8, 2.7, 2.0, 1.9, 0.1, NAN, 3.9"
"2026/01/06 24:00, 1.2, 5.5, ""2026/01/06 12:04"", 1.9, 71.5, 13.8, ""2026/01/06 04:14"", 30.2, ""2026/01/06 15:12"", 22.3, 51.1, ""2026/01/06 17:24"", 100.0, ""2026/01/06 00:42"", 88.3, 0.0, 322.7, 1,160.1, ""2026/01/06 13:54"", 27.9, 17.7, 19.0, 32.5, 13.8, 8.3, 2.8, 2.0, 0.8, 5.4, 3.8"
"2026/01/07 24:00, 1.7, 7.7, ""2026/01/07 16:43"", 113.8, 34.3, 13.2, ""2026/01/07 22:22"", 22.4, ""2026/01/07 11:31"", 17.6, 59.5, ""2026/01/07 07:12"", 100.0, ""2026/01/07 03:09"", 97.6, 4.6, 200.4, 1,303.8, ""2026/01/07 11:40"", 17.3, 15.8, 16.4, 22.4, 13.2, 5.2, 2.0, 1.8, 0.2, NAN, 3.9"
"2026/01/08 24:00, 1.4, 10.7, ""2026/01/08 08:47"", 331.4, 49.0, 13.4, ""2026/01/08 02:55"", 29.4, ""2026/01/08 15:30"", 21.2, 65.6, ""2026/01/08 16:00"", 100.0, ""2026/01/08 21:36"", 98.6, 0.2, 300.1, 1,113.4, ""2026/01/08 09:31"", 25.9, 18.8, 19.4, 34.0, 13.4, 8.1, 2.6, 2.2, 0.4, 4.8, 3.8"
"2026/01/09 24:00, 0.8, 5.5, ""2026/01/09 14:47"", 153.7, 62.7, 15.9, ""2026/01/09 21:44"", 22.1, ""2026/01/09 02:58"", 19.0, 80.2, ""2026/01/09 05:46"", 100.0, ""2026/01/09 02:14"", 100.0, 12.6, 65.7, 485.6, ""2026/01/09 07:31"", 5.7, 18.1, 18.4, 22.1, 15.9, 0.0, 2.2, 2.1, 0.1, 1.0, 3.8"
"2026/01/10 24:00, 0.9, 5.5, ""2026/01/10 19:45"", 126.3, 58.8, 15.4, ""2026/01/10 05:22"", 21.4, ""2026/01/10 16:56"", 17.7, 85.0, ""2026/01/10 17:22"", 100.0, ""2026/01/09 24:00"", 100.0, 0.8, 130.5, 1,404.5, ""2026/01/10 13:54"", 11.3, 17.3, 17.4, 21.4, 15.4, 2.3, 2.0, 2.0, 0.1, NAN, 3.8"
