"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt_Avg"",""PingTime_Avg"",""ScanCount"",""HI_C_Max"",""HI_C_TMx"",""SVPWkPa_Avg"",""Vp_Avg"",""TwC_Avg"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"",""ETos"",""Rso"",""Thermocouple_airTC_Avg"",""Thermocouple_airTC_Max"",""Thermocouple_airTC_Min"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"",""V"",""msec"","""",""Deg C"",""Deg C"",""kPa"","""",""Deg C"",""hours"",""Deg C"",""Deg C"",""mm"",""MJ/m²"",""DegC"",""DegC"",""DegC"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Min"",""TMn"",""ETXs"",""Rso"",""Avg"",""Max"",""Min"""
"2026-02-01 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-01-31 01:16:00"",8.4,""2026-01-31 21:56:00"",2.8,1.3,152.4,38.2,12.8,""2026-01-31 01:07:00"",23.5,""2026-01-31 14:10:00"",17.4,0.2,""2026-01-31 23:13:00"",100.0,""2026-01-31 17:48:00"",-53.5,""2026-01-31 01:20:00"",21.0,""2026-01-31 16:19:00"",-21.4,1455.9,""2026-01-31 11:30:00"",237.0,20.5,2.0,826.0,""2026-01-31 16:34:00"",829.0,""2026-01-31 09:15:00"",827.5,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-01-31 05:32:00"",14.7,""2026-01-31 08:49:00"",12.9,12.9,""2026-01-31 05:48:00"",28.3,""2026-01-31 14:18:00"",20.1,3.7,83.5,86400.0,23.5,""2026-01-31 14:10:00"",2.0,0.7,8.5,7.2,12.8,""2026-01-31 01:24:00"",3.4,4.1,17.6,23.7,13.2"
"2026-02-02 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-01 07:54:00"",10.7,""2026-02-01 20:31:00"",3.7,1.5,145.3,28.7,12.8,""2026-02-01 05:18:00"",22.9,""2026-02-01 14:10:00"",17.5,0.3,""2026-02-01 01:36:00"",100.0,""2026-02-01 17:08:00"",-53.5,""2026-02-01 05:11:00"",21.6,""2026-02-01 11:12:00"",-29.0,1350.8,""2026-02-01 13:24:00"",292.9,25.3,9.6,827.6,""2026-02-01 01:55:00"",830.2,""2026-02-01 08:46:00"",828.9,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.5,""2026-02-01 06:13:00"",14.5,""2026-02-01 14:27:00"",12.9,14.0,""2026-02-01 05:52:00"",29.0,""2026-02-01 15:28:00"",20.8,3.7,93.6,86400.0,22.9,""2026-02-01 14:10:00"",2.0,0.5,7.1,9.3,12.8,""2026-02-01 05:13:00"",4.0,4.1,17.9,23.5,13.4"
"2026-02-03 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-02 02:36:00"",9.9,""2026-02-02 17:06:00"",3.0,1.6,134.5,39.0,13.0,""2026-02-02 03:46:00"",23.3,""2026-02-02 10:07:00"",17.7,0.3,""2026-02-02 00:00:00"",100.0,""2026-02-02 05:50:00"",-53.4,""2026-02-02 03:50:00"",22.1,""2026-02-02 14:05:00"",-24.6,1452.7,""2026-02-02 10:55:00"",234.4,20.3,0.0,828.1,""2026-02-02 03:26:00"",830.7,""2026-02-02 22:44:00"",829.4,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-02 05:37:00"",14.4,""2026-02-02 16:35:00"",12.9,13.1,""2026-02-02 05:19:00"",32.0,""2026-02-02 10:39:00"",20.9,3.7,79.7,86400.0,23.2,""2026-02-02 10:08:00"",2.1,0.7,8.2,7.2,13.0,""2026-02-02 03:45:00"",3.4,4.1,18.0,23.8,13.3"
"2026-02-04 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-03 03:38:00"",9.9,""2026-02-03 21:11:00"",3.6,1.3,139.4,22.1,14.6,""2026-02-03 06:07:00"",22.8,""2026-02-03 13:20:00"",17.2,0.3,""2026-02-03 21:06:00"",100.0,""2026-02-03 11:00:00"",-52.0,""2026-02-03 21:06:00"",21.4,""2026-02-03 10:14:00"",-37.4,1459.1,""2026-02-03 12:03:00"",249.1,21.5,0.0,828.6,""2026-02-03 17:30:00"",831.0,""2026-02-03 09:26:00"",829.6,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-03 05:58:00"",14.9,""2026-02-03 08:57:00"",12.9,16.0,""2026-02-03 06:08:00"",29.6,""2026-02-03 13:26:00"",20.4,3.7,88.1,86400.0,22.8,""2026-02-03 13:20:00"",2.0,0.4,5.5,5.9,14.6,""2026-02-03 06:06:00"",3.4,4.2,17.5,23.2,15.1"
"2026-02-05 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-04 06:37:00"",9.2,""2026-02-04 00:41:00"",3.5,1.3,133.4,23.8,12.0,""2026-02-04 05:27:00"",19.9,""2026-02-04 13:47:00"",15.5,0.3,""2026-02-04 05:41:00"",100.0,""2026-02-04 14:06:00"",-54.2,""2026-02-04 05:41:00"",19.9,""2026-02-04 13:46:00"",-43.8,1215.6,""2026-02-04 09:25:00"",143.2,12.4,1.6,827.7,""2026-02-04 18:21:00"",830.7,""2026-02-04 08:55:00"",828.9,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-04 06:02:00"",14.9,""2026-02-04 08:48:00"",12.9,13.2,""2026-02-04 05:52:00"",26.4,""2026-02-04 13:50:00"",18.2,3.7,77.9,86400.0,19.9,""2026-02-04 13:47:00"",1.8,0.2,3.8,4.4,12.0,""2026-02-04 05:27:00"",1.9,4.2,15.9,20.6,12.5"
"2026-02-06 00:00:00,""AfMount_AWS_2_5135"",0.9,""2026-02-05 11:10:00"",10.7,""2026-02-05 21:06:00"",4.7,1.3,138.9,20.6,12.8,""2026-02-05 04:38:00"",21.8,""2026-02-05 13:45:00"",16.4,0.3,""2026-02-05 00:03:00"",100.0,""2026-02-05 11:47:00"",-53.5,""2026-02-05 04:40:00"",21.4,""2026-02-05 13:38:00"",-36.6,1482.5,""2026-02-05 11:22:00"",267.0,23.1,0.6,827.5,""2026-02-05 17:35:00"",830.2,""2026-02-05 10:11:00"",828.6,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-05 05:42:00"",15.0,""2026-02-05 09:25:00"",12.9,14.4,""2026-02-05 05:16:00"",29.6,""2026-02-05 15:29:00"",19.8,3.7,77.5,86400.0,21.8,""2026-02-05 13:46:00"",1.9,0.4,5.4,7.3,12.8,""2026-02-05 04:38:00"",3.4,4.1,16.8,22.5,13.3"
"2026-02-07 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-06 10:40:00"",9.9,""2026-02-06 00:00:00"",4.1,1.1,130.1,21.0,12.2,""2026-02-06 04:44:00"",22.6,""2026-02-06 14:48:00"",16.6,0.3,""2026-02-06 04:47:00"",100.0,""2026-02-06 18:07:00"",-54.0,""2026-02-06 04:47:00"",20.9,""2026-02-06 11:30:00"",-32.0,1394.4,""2026-02-06 11:55:00"",269.1,23.2,0.0,827.8,""2026-02-06 01:46:00"",830.5,""2026-02-06 09:13:00"",829.3,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-06 06:30:00"",15.1,""2026-02-06 09:19:00"",12.9,13.4,""2026-02-06 06:12:00"",30.6,""2026-02-06 14:55:00"",20.1,3.7,79.1,86400.0,22.5,""2026-02-06 14:47:00"",1.9,0.5,6.1,7.3,12.2,""2026-02-06 04:44:00"",3.6,4.1,17.0,23.3,12.7"
"2026-02-08 00:00:00,""AfMount_AWS_2_5135"",0.0,""2026-02-07 05:13:00"",10.7,""2026-02-07 18:27:00"",3.6,1.7,130.5,29.4,13.1,""2026-02-07 05:58:00"",24.4,""2026-02-07 10:58:00"",18.2,0.3,""2026-02-07 00:02:00"",99.9,""2026-02-07 17:04:00"",-53.2,""2026-02-07 05:13:00"",21.8,""2026-02-07 10:12:00"",-25.2,1300.7,""2026-02-07 10:52:00"",322.9,27.9,0.0,827.6,""2026-02-07 16:29:00"",831.1,""2026-02-07 09:07:00"",829.5,""34705"",""CPU:African_Mountain_AWS2_5135_V1R0_20240805_Vumba_"",""1924"",12.4,""2026-02-07 06:14:00"",14.3,""2026-02-07 08:45:00"",12.9,14.0,""2026-02-07 05:45:00"",31.8,""2026-02-07 11:15:00"",21.9,3.7,89.9,86400.0,24.4,""2026-02-07 10:57:00"",2.1,0.7,8.2,11.1,13.1,""2026-02-07 05:58:00"",4.5,4.1,18.6,24.8,13.1"
