"TIMESTAMP,""StationID"",""WSpd_Avg"",""WSpd_Max"",""WSpd_TMx"",""WDir_AVG"",""WDir_STD"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""RH"",""Rain_Tot"",""SlrW_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrMJ_Tot"",""TdewC_Avg"",""TwetC_Avg"",""HeatIndex_C_Max"",""WindChill_Min"",""Sunshine_Hrs_Tot"",""Satured_Vapour_Pressure_AVG"",""Vapour_Pressure_AVG"",""Vpd_Avg"",""ETos"",""Rso"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBatt_Min"",""LoggerBatt_TMn"",""LoggerBatt_Max"",""LoggerBatt_TMx"",""LoggerBatt_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt"",""PingTime_Avg"",""ScanCount"""
"TS,"""",""meters/second"",""meters/second"",""meters/second"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""%"",""mm"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""DegC"",""DegC"","""","""",""hours"","""","""","""",""mm"",""MJ/m²"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"","""",""mS"","""""
",""Smp"",""Avg"",""Max"",""TMx"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Smp"",""Tot"",""Avg"",""Max"",""TMx"",""Tot"",""Avg"",""Avg"",""Max"",""Min"",""Tot"",""Avg"",""Avg"",""Avg"",""ETXs"",""Rso"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"""
"2026-02-01 00:00:00,""UKZN_SchoolMet_J3992"",2.0,8.4,""2026-01-31 15:09:00"",126.9,62.0,17.5,""2026-01-31 05:47:00"",27.2,""2026-01-31 13:19:00"",21.4,70.6,""2026-01-31 13:21:00"",100.0,""2026-01-31 19:53:00"",100.0,1.0,290.6,1301.6,""2026-01-31 12:31:00"",25.1,19.9,20.3,29.6,17.5,8.1,2.6,2.3,0.3,4.5,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-01-31 05:13:00"",13.6,""2026-01-31 07:17:00"",13.2,22.1,""2026-01-31 05:38:00"",40.3,""2026-01-31 15:49:00"",30.2,""OK ON POWER UP"",NAN,86400.0"
"2026-02-02 00:00:00,""UKZN_SchoolMet_J3992"",1.5,9.2,""2026-02-01 00:22:00"",74.1,68.0,15.3,""2026-02-01 05:29:00"",27.6,""2026-02-01 13:05:00"",20.3,66.6,""2026-02-01 12:48:00"",100.0,""2026-02-01 17:24:00"",100.0,0.0,249.7,1183.1,""2026-02-01 13:34:00"",21.6,18.7,19.2,30.1,15.3,7.5,2.4,2.2,0.3,3.9,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-01 04:35:00"",13.7,""2026-02-01 07:50:00"",13.3,18.7,""2026-02-01 05:40:00"",39.2,""2026-02-01 14:29:00"",27.8,""OK ON POWER UP"",NAN,86400.0"
"2026-02-03 00:00:00,""UKZN_SchoolMet_J3992"",1.9,9.2,""2026-02-02 15:52:00"",149.9,72.3,17.7,""2026-02-02 05:49:00"",29.4,""2026-02-02 14:14:00"",22.4,61.4,""2026-02-02 14:13:00"",100.0,""2026-02-02 00:00:00"",100.0,0.0,310.4,945.7,""2026-02-02 12:19:00"",26.8,20.0,20.7,33.3,17.7,8.4,2.8,2.3,0.4,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-02 04:01:00"",13.6,""2026-02-02 07:44:00"",13.2,21.3,""2026-02-02 04:25:00"",43.1,""2026-02-02 15:32:00"",30.7,""OK ON POWER UP"",NAN,86400.0"
"2026-02-04 00:00:00,""UKZN_SchoolMet_J3992"",1.4,8.4,""2026-02-03 14:40:00"",79.5,68.9,17.9,""2026-02-03 05:20:00"",30.4,""2026-02-03 13:32:00"",23.2,51.6,""2026-02-03 12:40:00"",100.0,""2026-02-03 00:00:00"",100.0,0.0,311.0,1059.1,""2026-02-03 12:11:00"",26.9,21.4,21.9,36.0,17.9,8.2,2.9,2.6,0.3,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-03 00:53:00"",13.6,""2026-02-03 07:45:00"",13.2,21.7,""2026-02-03 05:20:00"",42.5,""2026-02-03 14:09:00"",31.9,""OK ON POWER UP"",NAN,86400.0"
"2026-02-05 00:00:00,""UKZN_SchoolMet_J3992"",1.4,8.4,""2026-02-04 16:30:00"",107.9,63.0,19.6,""2026-02-04 06:32:00"",33.0,""2026-02-04 15:28:00"",23.4,46.1,""2026-02-04 15:37:00"",100.0,""2026-02-04 00:00:00"",94.3,0.0,268.8,1043.6,""2026-02-04 09:52:00"",23.2,21.6,22.0,39.1,19.6,6.9,3.0,2.6,0.4,4.5,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-04 02:41:00"",13.7,""2026-02-04 08:55:00"",13.2,24.0,""2026-02-04 04:52:00"",46.6,""2026-02-04 15:49:00"",31.4,""OK ON POWER UP"",NAN,86400.0"
"2026-02-06 00:00:00,""UKZN_SchoolMet_J3992"",1.5,8.4,""2026-02-05 13:12:00"",293.1,72.6,18.9,""2026-02-05 06:06:00"",34.0,""2026-02-05 15:02:00"",25.0,26.9,""2026-02-05 14:35:00"",97.6,""2026-02-05 00:29:00"",83.2,0.0,307.4,1115.5,""2026-02-05 11:47:00"",26.6,19.6,21.3,37.9,18.9,8.0,3.3,2.3,1.0,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-05 00:51:00"",13.6,""2026-02-05 07:38:00"",13.2,22.7,""2026-02-05 05:38:00"",48.5,""2026-02-05 17:14:00"",33.7,""OK ON POWER UP"",NAN,86400.0"
"2026-02-07 00:00:00,""UKZN_SchoolMet_J3992"",1.9,9.2,""2026-02-06 14:41:00"",150.2,72.5,17.7,""2026-02-06 05:19:00"",32.9,""2026-02-06 14:12:00"",23.0,47.0,""2026-02-06 14:02:00"",100.0,""2026-02-06 20:11:00"",99.4,0.0,237.8,1115.3,""2026-02-06 12:52:00"",20.5,19.3,20.4,37.1,17.7,6.0,2.9,2.2,0.7,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",13.0,""2026-02-06 01:10:00"",13.6,""2026-02-06 07:48:00"",13.2,21.6,""2026-02-06 05:56:00"",45.1,""2026-02-06 14:16:00"",30.4,""OK ON POWER UP"",NAN,86400.0"
"2026-02-08 00:00:00,""UKZN_SchoolMet_J3992"",1.8,13.7,""2026-02-07 19:41:00"",301.7,56.1,16.4,""2026-02-07 20:14:00"",32.3,""2026-02-07 16:03:00"",22.1,45.4,""2026-02-07 15:56:00"",100.0,""2026-02-07 00:27:00"",100.0,15.4,277.4,1068.7,""2026-02-07 12:10:00"",24.0,19.2,20.0,36.4,16.4,7.6,2.8,2.2,0.6,NAN,3.7,""18935"",""CPU:UKZN_J3992_V1R0_01022025.CR300"",""37697"",12.9,""2026-02-07 04:24:00"",13.6,""2026-02-07 07:48:00"",13.2,20.7,""2026-02-07 20:54:00"",46.6,""2026-02-07 15:43:00"",30.2,""OK ON POWER UP"",NAN,86400.0"
