"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt_Avg"",""PingTime_Avg"",""ScanCount"",""HI_C_Max"",""HI_C_TMx"",""SVPWkPa_Avg"",""Vp_Avg"",""TwC_Avg"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"",""ETos"",""Rso"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"",""V"",""msec"","""",""Deg C"",""Deg C"",""kPa"","""",""Deg C"",""hours"",""Deg C"",""Deg C"",""mm"",""MJ/m²"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Min"",""TMn"",""ETXs"",""Rso"""
"2026-02-01 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-01-31 00:00:00"",6.2,""2026-01-31 14:00:00"",1.0,1.2,310.9,63.1,11.4,""2026-01-31 23:14:00"",20.4,""2026-01-31 13:47:00"",14.6,57.7,""2026-01-31 13:21:00"",94.3,""2026-01-31 23:53:00"",10.5,""2026-01-31 23:14:00"",14.3,""2026-01-31 13:56:00"",12.0,1018.2,""2026-01-31 15:35:00"",190.4,16.4,39.6,766.9,""2026-01-31 15:38:00"",770.7,""2026-01-31 22:13:00"",769.2,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-01-31 07:52:00"",13.5,""2026-01-31 10:36:00"",12.7,12.1,""2026-01-31 23:43:00"",28.2,""2026-01-31 14:32:00"",16.9,3.7,125.6,86400.0,20.4,""2026-01-31 13:48:00"",1.7,1.4,12.9,4.4,11.4,""2026-01-31 23:14:00"",2.9,4.0"
"2026-02-02 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-01 00:00:00"",9.2,""2026-02-01 21:24:00"",2.5,1.6,283.4,26.8,11.1,""2026-02-01 22:17:00"",19.5,""2026-02-01 14:30:00"",14.4,59.0,""2026-02-01 14:46:00"",94.4,""2026-02-01 04:24:00"",10.1,""2026-02-01 22:13:00"",13.7,""2026-02-01 12:05:00"",11.4,1594.8,""2026-02-01 12:08:00"",215.1,18.6,15.6,769.0,""2026-02-01 15:27:00"",772.1,""2026-02-01 20:44:00"",770.5,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-01 05:47:00"",14.4,""2026-02-01 09:26:00"",12.9,11.9,""2026-02-01 05:52:00"",25.3,""2026-02-01 14:46:00"",16.6,3.7,186.3,86400.0,19.4,""2026-02-01 14:26:00"",1.7,1.4,12.5,6.0,11.1,""2026-02-01 22:17:00"",2.9,4.0"
"2026-02-03 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-02 00:00:00"",8.4,""2026-02-02 10:42:00"",1.8,1.7,302.8,25.7,11.0,""2026-02-02 04:21:00"",19.3,""2026-02-02 12:44:00"",13.2,62.7,""2026-02-02 12:56:00"",94.3,""2026-02-02 23:12:00"",10.1,""2026-02-02 04:18:00"",14.2,""2026-02-02 12:43:00"",11.4,1561.2,""2026-02-02 12:57:00"",129.3,11.2,17.2,769.8,""2026-02-02 15:26:00"",772.7,""2026-02-02 22:11:00"",771.2,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-02 06:02:00"",14.3,""2026-02-02 10:24:00"",12.8,11.5,""2026-02-02 04:43:00"",23.9,""2026-02-02 13:10:00"",14.7,3.7,122.7,86400.0,19.3,""2026-02-02 12:44:00"",1.5,1.3,12.0,1.6,11.0,""2026-02-02 04:23:00"",1.8,4.0"
"2026-02-04 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-03 02:46:00"",7.0,""2026-02-03 00:04:00"",0.9,1.3,339.1,56.2,11.2,""2026-02-03 02:12:00"",21.0,""2026-02-03 12:54:00"",14.7,53.4,""2026-02-03 11:40:00"",94.3,""2026-02-03 00:13:00"",9.6,""2026-02-03 08:36:00"",14.4,""2026-02-03 14:16:00"",11.8,1610.9,""2026-02-03 11:22:00"",194.6,16.8,1.8,769.2,""2026-02-03 15:46:00"",771.8,""2026-02-03 00:00:00"",770.7,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-02-03 05:53:00"",14.4,""2026-02-03 10:51:00"",12.8,11.6,""2026-02-03 02:35:00"",28.0,""2026-02-03 11:31:00"",17.1,3.7,151.3,86400.0,21.0,""2026-02-03 12:54:00"",1.7,1.4,12.8,4.9,11.2,""2026-02-03 02:12:00"",3.0,4.0"
"2026-02-05 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-04 00:00:00"",7.7,""2026-02-04 12:43:00"",0.5,0.9,343.0,59.2,12.4,""2026-02-04 03:33:00"",22.0,""2026-02-04 12:43:00"",15.5,49.3,""2026-02-04 12:34:00"",93.6,""2026-02-04 23:58:00"",10.6,""2026-02-04 09:26:00"",14.9,""2026-02-04 08:00:00"",12.1,1610.1,""2026-02-04 11:35:00"",224.0,19.4,9.6,768.0,""2026-02-04 15:20:00"",771.4,""2026-02-04 09:03:00"",770.0,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-04 06:01:00"",14.4,""2026-02-04 14:37:00"",12.8,12.5,""2026-02-04 03:31:00"",28.4,""2026-02-04 10:59:00"",17.9,3.7,237.1,86400.0,22.0,""2026-02-04 12:42:00"",1.8,1.4,13.3,5.2,12.4,""2026-02-04 03:33:00"",3.6,4.0"
"2026-02-06 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-05 00:00:00"",7.7,""2026-02-05 16:45:00"",0.8,1.1,359.1,59.2,12.3,""2026-02-05 23:09:00"",21.0,""2026-02-05 10:18:00"",15.2,49.7,""2026-02-05 10:57:00"",94.0,""2026-02-05 03:17:00"",6.8,""2026-02-05 20:33:00"",14.3,""2026-02-05 08:59:00"",11.2,1336.4,""2026-02-05 09:35:00"",178.0,15.4,1.4,768.4,""2026-02-05 14:38:00"",771.4,""2026-02-05 08:27:00"",769.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-05 05:37:00"",14.6,""2026-02-05 12:21:00"",12.8,11.8,""2026-02-05 22:29:00"",28.3,""2026-02-05 10:31:00"",16.9,3.7,244.1,86400.0,21.0,""2026-02-05 10:18:00"",1.8,1.3,12.7,3.8,12.3,""2026-02-05 23:09:00"",2.8,4.0"
"2026-02-07 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-06 00:00:00"",7.0,""2026-02-06 20:33:00"",1.2,1.2,330.0,59.8,11.7,""2026-02-06 20:49:00"",18.0,""2026-02-06 15:50:00"",14.4,69.1,""2026-02-06 09:05:00"",94.2,""2026-02-06 23:59:00"",10.6,""2026-02-06 05:47:00"",14.8,""2026-02-06 12:08:00"",12.2,955.8,""2026-02-06 12:16:00"",110.8,9.6,7.4,769.3,""2026-02-06 04:31:00"",772.5,""2026-02-06 22:24:00"",770.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-06 04:46:00"",14.2,""2026-02-06 14:44:00"",12.8,12.2,""2026-02-06 00:00:00"",22.3,""2026-02-06 10:02:00"",15.7,3.7,128.3,86400.0,17.9,""2026-02-06 15:51:00"",1.6,1.4,13.0,1.4,11.7,""2026-02-06 20:50:00"",1.6,4.0"
"2026-02-08 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-02-07 00:09:00"",8.4,""2026-02-07 12:07:00"",2.6,1.7,251.6,30.0,11.9,""2026-02-07 05:36:00"",18.1,""2026-02-07 14:41:00"",14.0,64.4,""2026-02-07 14:54:00"",94.4,""2026-02-07 03:33:00"",8.7,""2026-02-07 20:19:00"",13.6,""2026-02-07 12:19:00"",11.3,1025.4,""2026-02-07 12:30:00"",154.3,13.3,11.2,769.2,""2026-02-07 16:11:00"",772.9,""2026-02-07 08:43:00"",771.3,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.4,""2026-02-07 05:40:00"",14.3,""2026-02-07 11:07:00"",12.9,12.3,""2026-02-07 23:55:00"",22.6,""2026-02-07 15:32:00"",15.5,3.7,228.2,86400.0,18.1,""2026-02-07 14:41:00"",1.6,1.3,12.3,2.7,11.9,""2026-02-07 05:38:00"",2.1,4.0"
