"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt"",""PingTime_Avg"",""ScanCount"",""ETos"",""Rso"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"",""BI_Avg"",""BIPWS_Avg"",""BIPWS_Max"",""BIPWS_TMx"",""BIPWS_Min"",""BIPWS_TMn"",""RCF"",""elapsed_time_since_rain_days"",""FDI_Avg"",""FDI_Max"",""FDI_TMx"",""FDI_Min"",""FDI_TMn"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"","""",""msec"","""",""mm"",""MJ/m²"",""hours"",""Deg C"",""Deg C"","""","""","""","""","""","""","""","""","""","""","""","""","""""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"",""ETXs"",""Rso"",""Tot"",""Min"",""TMn"",""Avg"",""Avg"",""Max"",""TMx"",""Min"",""TMn"",""Smp"",""Smp"",""Avg"",""Max"",""TMx"",""Min"",""TMn"""
"2026-02-01 00:00:00,""UFS_AWS_4626"",0.0,""2026-01-31 00:03:21"",10.8,""2026-01-31 14:47:27"",1.6,1.1,117.3,64.5,14.7,""2026-01-31 05:36:21"",29.8,""2026-01-31 13:14:36"",20.6,40.5,""2026-01-31 13:22:51"",89.3,""2026-01-31 22:04:11"",11.2,""2026-01-31 03:07:06"",19.1,""2026-01-31 13:14:36"",14.4,1272.4,""2026-01-31 13:59:24"",315.0,27.2,0.5,831.0,""2026-01-31 14:36:17"",837.2,""2026-01-31 23:44:05"",834.2,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-01-31 04:56:21"",13.7,""2026-01-31 07:33:03"",13.1,17.3,""2026-01-31 05:21:05"",39.5,""2026-01-31 14:11:22"",27.2,""OK ON POWER UP"",53.0,86400.0,5.1,3.8,9.7,14.7,""2026-01-31 05:36:21"",28.7,34.1,64.8,""2026-01-31 14:38:48"",17.6,""2026-01-31 00:17:19"",0.5,0.0,20.6,41.1,""2026-01-31 14:38:49"",8.6,""2026-01-31 00:17:19"""
"2026-02-02 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-01 01:47:59"",9.3,""2026-02-01 17:22:20"",1.8,1.2,244.5,75.8,15.3,""2026-02-01 01:47:21"",28.7,""2026-02-01 17:04:06"",20.7,37.4,""2026-02-01 16:58:16"",89.0,""2026-02-01 01:02:46"",10.7,""2026-02-01 03:56:01"",17.2,""2026-02-01 17:25:41"",13.4,1624.1,""2026-02-01 12:35:54"",294.8,25.5,0.3,832.2,""2026-02-01 16:24:29"",837.2,""2026-02-01 23:59:46"",834.8,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-01 05:00:14"",13.8,""2026-02-01 07:43:31"",13.1,18.0,""2026-02-01 01:57:02"",38.7,""2026-02-01 17:11:37"",26.4,""OK ON POWER UP"",51.9,86400.0,4.7,3.9,9.0,15.3,""2026-02-01 01:47:21"",30.2,36.4,63.6,""2026-02-01 15:31:15"",17.6,""2026-02-01 00:52:12"",0.7,1.0,22.3,40.9,""2026-02-01 15:42:26"",8.7,""2026-02-01 00:52:12"""
"2026-02-03 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-02 01:43:13"",7.8,""2026-02-02 00:56:49"",1.5,0.9,234.8,63.1,13.3,""2026-02-02 05:04:21"",28.9,""2026-02-02 14:12:56"",20.3,39.3,""2026-02-02 13:08:11"",92.3,""2026-02-02 05:56:51"",11.4,""2026-02-02 04:53:36"",17.3,""2026-02-02 13:51:41"",13.7,1189.5,""2026-02-02 14:29:47"",273.5,23.6,3.5,833.3,""2026-02-02 16:26:18"",838.2,""2026-02-02 00:45:31"",835.0,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-02 04:57:32"",13.8,""2026-02-02 07:18:50"",13.1,15.9,""2026-02-02 05:28:22"",38.7,""2026-02-02 14:23:26"",25.7,""OK ON POWER UP"",53.1,86400.0,4.4,3.8,8.0,13.3,""2026-02-02 05:04:21"",28.8,34.1,60.3,""2026-02-02 13:53:55"",14.3,""2026-02-02 05:55:06"",0.5,0.0,12.8,27.7,""2026-02-02 00:17:41"",5.2,""2026-02-02 05:55:06"""
"2026-02-04 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-03 00:28:28"",6.7,""2026-02-03 23:02:47"",1.4,0.9,211.3,65.8,15.6,""2026-02-03 05:42:56"",29.9,""2026-02-03 14:16:11"",22.7,41.3,""2026-02-03 14:22:41"",95.2,""2026-02-03 05:53:21"",12.8,""2026-02-03 19:47:01"",18.9,""2026-02-03 10:37:11"",15.9,1176.5,""2026-02-03 12:56:26"",316.1,27.3,0.0,834.1,""2026-02-03 16:33:28"",837.3,""2026-02-03 08:59:09"",836.0,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-03 04:56:59"",13.7,""2026-02-03 07:25:57"",13.1,18.6,""2026-02-03 05:48:53"",40.9,""2026-02-03 14:27:00"",28.8,""OK ON POWER UP"",54.1,86400.0,5.3,3.8,9.8,15.6,""2026-02-03 05:42:56"",31.3,36.2,59.9,""2026-02-03 13:46:11"",16.0,""2026-02-03 05:44:11"",0.7,1.0,22.4,37.9,""2026-02-03 16:30:33"",8.7,""2026-02-03 05:44:11"""
"2026-02-05 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-04 00:29:57"",5.8,""2026-02-04 15:14:19"",1.2,0.8,251.0,71.8,16.0,""2026-02-04 05:48:01"",30.5,""2026-02-04 14:54:56"",22.6,23.0,""2026-02-04 15:29:01"",93.9,""2026-02-04 03:51:01"",5.9,""2026-02-04 15:29:01"",20.4,""2026-02-04 11:25:51"",15.2,1200.5,""2026-02-04 12:52:04"",310.3,26.8,0.0,833.2,""2026-02-04 18:27:00"",837.3,""2026-02-04 07:09:25"",835.3,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-04 04:57:36"",13.8,""2026-02-04 07:25:30"",13.1,18.5,""2026-02-04 05:59:27"",42.8,""2026-02-04 15:17:39"",29.2,""OK ON POWER UP"",53.6,86400.0,5.3,3.8,9.9,16.0,""2026-02-04 05:48:01"",31.5,35.8,65.7,""2026-02-04 15:02:01"",17.1,""2026-02-04 03:46:11"",0.9,2.0,29.4,55.2,""2026-02-04 15:22:34"",12.8,""2026-02-04 03:46:11"""
"2026-02-06 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-05 00:03:07"",6.8,""2026-02-05 16:12:10"",1.2,1.0,306.2,73.2,14.7,""2026-02-05 04:51:16"",30.8,""2026-02-05 15:17:56"",22.6,24.9,""2026-02-05 15:08:51"",87.5,""2026-02-05 03:52:06"",8.0,""2026-02-05 14:57:56"",18.6,""2026-02-05 10:37:26"",12.5,1228.7,""2026-02-05 11:54:20"",336.2,29.0,0.0,832.2,""2026-02-05 17:30:04"",836.3,""2026-02-05 08:00:38"",834.5,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-05 04:56:38"",13.8,""2026-02-05 07:25:39"",13.1,17.0,""2026-02-05 04:31:51"",41.1,""2026-02-05 16:13:03"",28.8,""OK ON POWER UP"",53.4,86400.0,5.7,3.8,11.2,14.7,""2026-02-05 04:51:16"",34.8,38.9,70.5,""2026-02-05 16:12:10"",17.4,""2026-02-05 03:51:31"",1.0,3.0,38.0,70.5,""2026-02-05 16:12:10"",16.1,""2026-02-05 03:51:31"""
"2026-02-07 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-06 00:03:57"",8.0,""2026-02-06 20:18:56"",1.3,1.0,305.9,71.2,12.9,""2026-02-06 05:55:01"",30.9,""2026-02-06 15:34:31"",22.6,32.4,""2026-02-06 14:59:56"",81.1,""2026-02-06 05:56:46"",9.0,""2026-02-06 01:50:26"",17.4,""2026-02-06 11:13:46"",12.9,1039.4,""2026-02-06 13:05:27"",324.3,28.0,0.0,833.0,""2026-02-06 16:43:57"",836.6,""2026-02-06 23:59:56"",834.9,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-06 04:58:24"",13.8,""2026-02-06 07:26:20"",13.1,15.9,""2026-02-06 06:02:29"",40.4,""2026-02-06 16:27:56"",28.6,""OK ON POWER UP"",55.4,86400.0,5.5,3.8,11.1,12.9,""2026-02-06 05:55:01"",34.7,39.5,69.3,""2026-02-06 14:36:20"",17.5,""2026-02-06 05:55:56"",1.0,4.0,39.5,69.3,""2026-02-06 14:36:20"",17.5,""2026-02-06 05:55:56"""
"2026-02-08 00:00:00,""UFS_AWS_4626"",0.0,""2026-02-07 00:13:41"",7.7,""2026-02-07 12:35:29"",1.7,1.1,255.8,70.8,16.5,""2026-02-07 05:31:41"",30.2,""2026-02-07 13:30:41"",22.9,33.3,""2026-02-07 14:39:31"",88.1,""2026-02-07 03:48:56"",11.7,""2026-02-07 14:39:31"",17.3,""2026-02-07 11:51:46"",14.4,1126.3,""2026-02-07 13:16:49"",318.3,27.5,0.0,832.4,""2026-02-07 16:36:56"",836.9,""2026-02-07 07:32:45"",835.0,""11258"",""CPU:UFS_AWS_4626_V1R0_20250718.CR300"",""11831"",12.6,""2026-02-07 04:59:02"",13.8,""2026-02-07 07:30:14"",13.1,18.7,""2026-02-07 05:51:23"",39.6,""2026-02-07 16:05:09"",29.1,""OK ON POWER UP"",54.9,86400.0,5.3,3.8,10.7,16.5,""2026-02-07 05:31:41"",33.4,39.3,68.4,""2026-02-07 15:04:06"",18.9,""2026-02-07 05:34:21"",1.0,5.0,39.3,68.4,""2026-02-07 15:04:06"",18.9,""2026-02-07 05:34:21"""
