TIMESTAMP,station_seqnum,Rain_Tot,who
2026-04-01,1430011,0,7
2026-04-02,1430011,0,7
2026-04-03,1430011,0.1,7
2026-04-04,1430011,0,7
2026-04-05,1430011,0.3,7
2026-04-06,1430011,0.9,7
2026-04-07,1430011,3.2,7
2026-04-08,1430011,0,7
2026-04-09,1430011,0,7
2026-04-10,1430011,0,7
2026-04-11,1430011,0,7
2026-04-12,1430011,0,7
2026-04-13,1430011,4,7
2026-04-14,1430011,0,7
2026-04-15,1430011,3.5,7
2026-04-16,1430011,0.9,7
2026-04-17,1430011,1.3,7
2026-04-18,1430011,10.8,7
2026-04-19,1430011,0.1,7
2026-04-20,1430011,1.4,7
2026-04-21,1430011,1.1,7
2026-04-22,1430011,3,7
2026-04-23,1430011,0,7
2026-04-24,1430011,0,7
2026-04-25,1430011,6.7,7
2026-04-26,1430011,1.6,7
2026-04-27,1430011,0,7
2026-04-28,1430011,1.9,7
2026-04-29,1430011,0.2,7
2026-04-30,1430011,0,7
