TIMESTAMP,station_seqnum,Rain_Tot,who
2026-04-01,1430002,1.8,7
2026-04-02,1430002,0.4,7
2026-04-03,1430002,4.6,7
2026-04-04,1430002,0,7
2026-04-05,1430002,2.4,7
2026-04-06,1430002,19,7
2026-04-07,1430002,22.8,7
2026-04-08,1430002,0.2,7
2026-04-09,1430002,2.8,7
2026-04-10,1430002,2.6,7
2026-04-11,1430002,1.2,7
2026-04-12,1430002,0,7
2026-04-13,1430002,0,7
2026-04-14,1430002,2.2,7
2026-04-15,1430002,3.2,7
2026-04-16,1430002,5.4,7
2026-04-17,1430002,6.6,7
2026-04-18,1430002,1,7
2026-04-19,1430002,0.2,7
2026-04-20,1430002,0,7
2026-04-21,1430002,0.4,7
2026-04-22,1430002,0,7
2026-04-23,1430002,0.2,7
2026-04-24,1430002,0,7
2026-04-25,1430002,0.2,7
2026-04-26,1430002,2,7
2026-04-27,1430002,0,7
2026-04-28,1430002,2.6,7
2026-04-29,1430002,1,7
2026-04-30,1430002,0.8,7
