TIMESTAMP,station_seqnum,Rain_Tot,who
2026-04-01,1430008,0,7
2026-04-02,1430008,0.2,7
2026-04-03,1430008,0,7
2026-04-04,1430008,0,7
2026-04-05,1430008,0,7
2026-04-06,1430008,0.2,7
2026-04-07,1430008,0.6,7
2026-04-08,1430008,2.8,7
2026-04-09,1430008,0.2,7
2026-04-10,1430008,0,7
2026-04-11,1430008,0.6,7
2026-04-12,1430008,0,7
2026-04-13,1430008,11.8,7
2026-04-14,1430008,0.2,7
2026-04-15,1430008,3.8,7
2026-04-16,1430008,0,7
2026-04-17,1430008,4,7
2026-04-18,1430008,7.8,7
2026-04-19,1430008,1.6,7
2026-04-20,1430008,3.8,7
2026-04-21,1430008,0,7
2026-04-22,1430008,2.2,7
2026-04-23,1430008,4.8,7
2026-04-24,1430008,3.4,7
2026-04-25,1430008,19.4,7
2026-04-26,1430008,0.2,7
2026-04-27,1430008,0,7
2026-04-28,1430008,0.2,7
2026-04-29,1430008,0.2,7
2026-04-30,1430008,0,7
