TIMESTAMP,station_seqnum,Rain_Tot,who
2026-04-01,1430003,21.8,7
2026-04-02,1430003,1.2,7
2026-04-03,1430003,2,7
2026-04-04,1430003,3.8,7
2026-04-05,1430003,0.2,7
2026-04-06,1430003,0,7
2026-04-07,1430003,0,7
2026-04-08,1430003,7.4,7
2026-04-09,1430003,16,7
2026-04-10,1430003,1.8,7
2026-04-11,1430003,0,7
2026-04-12,1430003,0.2,7
2026-04-13,1430003,0.2,7
2026-04-14,1430003,0,7
2026-04-15,1430003,0.6,7
2026-04-16,1430003,0.4,7
2026-04-17,1430003,0.2,7
2026-04-18,1430003,0.2,7
2026-04-19,1430003,0.2,7
2026-04-20,1430003,0,7
2026-04-21,1430003,0,7
2026-04-22,1430003,0,7
2026-04-23,1430003,0,7
2026-04-24,1430003,55,7
2026-04-25,1430003,12.8,7
2026-04-26,1430003,1.2,7
2026-04-27,1430003,0.2,7
2026-04-28,1430003,0,7
2026-04-29,1430003,0,7
2026-04-30,1430003,5.2,7
