"TOA5,""UFS3_Sentinal"","""","""","""","""","""",""TableDay"""
"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt"",""PingTime_Avg"",""ScanCount"",""ETos"",""Rso"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"","""",""msec"","""",""mm"",""MJ/m²"",""hours"",""Deg C"",""Deg C"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"",""ETXs"",""Rso"",""Tot"",""Min"",""TMn"""
"2026-04-01 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-03-31 00:00:00"",7.0,""2026-03-31 00:00:00"",1.2,1.1,189.2,67.4,9.6,""2026-03-31 00:00:00"",17.8,""2026-03-31 00:00:00"",13.7,44.1,""2026-03-31 00:00:00"",98.2,""2026-03-31 00:00:00"",0.7,""2026-03-31 00:00:00"",13.0,""2026-03-31 00:00:00"",8.7,1259.3,""2026-03-31 00:00:00"",254.3,22.0,0.0,753.2,""2026-03-31 00:00:00"",755.5,""2026-03-31 00:00:00"",754.4,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-03-31 00:00:00"",13.7,""2026-03-31 00:00:00"",13.1,12.1,""2026-03-31 00:00:00"",33.9,""2026-03-31 00:00:00"",22.3,""OK ON POWER UP"",415.4,86400.0,3.8,3.2,9.0,7.2,""2026-03-31 00:00:00"""
"2026-04-02 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-01 00:00:00"",7.7,""2026-04-01 00:00:00"",1.8,1.8,244.4,65.5,10.6,""2026-04-01 00:00:00"",17.7,""2026-04-01 00:00:00"",13.2,63.5,""2026-04-01 00:00:00"",98.2,""2026-04-01 00:00:00"",8.7,""2026-04-01 00:00:00"",14.4,""2026-04-01 00:00:00"",11.1,1145.8,""2026-04-01 00:00:00"",128.6,11.1,0.0,754.4,""2026-04-01 00:00:00"",757.1,""2026-04-01 00:00:00"",755.9,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-01 00:00:00"",14.1,""2026-04-01 00:00:00"",13.2,13.8,""2026-04-01 00:00:00"",29.8,""2026-04-01 00:00:00"",20.4,""OK ON POWER UP"",434.7,86400.0,1.8,3.2,4.0,10.6,""2026-04-01 00:00:00"""
"2026-04-03 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-02 00:00:00"",6.2,""2026-04-02 00:00:00"",1.3,1.1,208.1,70.2,9.9,""2026-04-02 00:00:00"",16.8,""2026-04-02 00:00:00"",12.9,63.3,""2026-04-02 00:00:00"",98.0,""2026-04-02 00:00:00"",6.6,""2026-04-02 00:00:00"",13.9,""2026-04-02 00:00:00"",10.7,1424.2,""2026-04-02 00:00:00"",127.5,11.0,0.0,756.4,""2026-04-02 00:00:00"",758.4,""2026-04-02 00:00:00"",757.3,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-02 00:00:00"",14.1,""2026-04-02 00:00:00"",13.2,13.0,""2026-04-02 00:00:00"",30.4,""2026-04-02 00:00:00"",19.9,""OK ON POWER UP"",411.9,86400.0,1.8,3.2,4.2,7.9,""2026-04-02 00:00:00"""
"2026-04-04 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-03 00:00:00"",9.2,""2026-04-03 00:00:00"",1.9,1.3,311.6,67.6,7.3,""2026-04-03 00:00:00"",16.5,""2026-04-03 00:00:00"",13.1,35.1,""2026-04-03 00:00:00"",98.1,""2026-04-03 00:00:00"",-1.1,""2026-04-03 00:00:00"",12.3,""2026-04-03 00:00:00"",7.3,1141.6,""2026-04-03 00:00:00"",229.0,19.8,0.0,753.5,""2026-04-03 00:00:00"",756.7,""2026-04-03 00:00:00"",755.1,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.5,""2026-04-03 00:00:00"",13.8,""2026-04-03 00:00:00"",13.1,12.7,""2026-04-03 00:00:00"",30.3,""2026-04-03 00:00:00"",20.8,""OK ON POWER UP"",519.2,86400.0,3.2,3.2,8.2,3.9,""2026-04-03 00:00:00"""
"2026-04-05 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-04 00:00:00"",9.9,""2026-04-04 00:00:00"",1.6,1.4,215.6,68.9,11.3,""2026-04-04 00:00:00"",19.4,""2026-04-04 00:00:00"",15.3,32.6,""2026-04-04 00:00:00"",96.7,""2026-04-04 00:00:00"",-1.6,""2026-04-04 00:00:00"",12.0,""2026-04-04 00:00:00"",7.4,1005.4,""2026-04-04 00:00:00"",246.9,21.3,0.0,751.9,""2026-04-04 00:00:00"",754.2,""2026-04-04 00:00:00"",753.0,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-04 00:00:00"",13.7,""2026-04-04 00:00:00"",13.1,14.5,""2026-04-04 00:00:00"",34.8,""2026-04-04 00:00:00"",22.9,""OK ON POWER UP"",475.2,86400.0,3.7,3.2,8.8,11.3,""2026-04-04 00:00:00"""
"2026-04-06 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-05 00:00:00"",19.7,""2026-04-05 00:00:00"",2.1,2.1,314.4,77.0,8.4,""2026-04-05 00:00:00"",17.6,""2026-04-05 00:00:00"",13.2,49.9,""2026-04-05 00:00:00"",97.9,""2026-04-05 00:00:00"",3.6,""2026-04-05 00:00:00"",12.7,""2026-04-05 00:00:00"",9.5,1302.5,""2026-04-05 00:00:00"",118.1,10.2,0.0,750.0,""2026-04-05 00:00:00"",752.8,""2026-04-05 00:00:00"",751.5,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-05 00:00:00"",13.7,""2026-04-05 00:00:00"",13.2,12.2,""2026-04-05 00:00:00"",27.3,""2026-04-05 00:00:00"",20.1,""OK ON POWER UP"",434.6,86400.0,1.6,3.1,3.6,6.5,""2026-04-05 00:00:00"""
"2026-04-07 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-06 00:00:00"",24.2,""2026-04-06 00:00:00"",4.3,3.6,286.4,61.4,7.7,""2026-04-06 00:00:00"",17.7,""2026-04-06 00:00:00"",12.3,42.6,""2026-04-06 00:00:00"",97.9,""2026-04-06 00:00:00"",2.4,""2026-04-06 00:00:00"",11.1,""2026-04-06 00:00:00"",7.3,1351.3,""2026-04-06 00:00:00"",242.4,20.9,0.0,749.8,""2026-04-06 00:00:00"",755.7,""2026-04-06 00:00:00"",752.3,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-06 00:00:00"",13.9,""2026-04-06 00:00:00"",13.2,11.6,""2026-04-06 00:00:00"",30.7,""2026-04-06 00:00:00"",19.6,""OK ON POWER UP"",466.0,86400.0,2.9,3.1,8.7,4.1,""2026-04-06 00:00:00"""
"2026-04-08 00:00:00,""UFS_AWS_3_4809"",0.0,""2026-04-07 00:00:00"",7.7,""2026-04-07 00:00:00"",1.6,1.2,155.9,63.5,6.7,""2026-04-07 00:00:00"",9.5,""2026-04-07 00:00:00"",8.0,97.8,""2026-04-07 00:00:00"",99.0,""2026-04-07 00:00:00"",6.4,""2026-04-07 00:00:00"",9.4,""2026-04-07 00:00:00"",7.8,914.0,""2026-04-07 00:00:00"",93.1,8.0,3.6,755.3,""2026-04-07 00:00:00"",759.5,""2026-04-07 00:00:00"",757.8,""25856"",""CPU:UFS_AWS_3_4809_V1R0_20250719.CR300"",""33629"",12.6,""2026-04-07 00:00:00"",13.9,""2026-04-07 00:00:00"",13.3,10.3,""2026-04-07 00:00:00"",20.4,""2026-04-07 00:00:00"",14.0,""OK ON POWER UP"",436.4,86400.0,1.1,3.1,1.3,3.1,""2026-04-07 00:00:00"""
