"TOA5,""Nyika"","""","""","""","""","""",""TableDay"""
"TIMESTAMP,""StationID"",""WSpd_Min"",""WSpd_TMn"",""WSpd_Max"",""WSpd_TMx"",""WSpd_Avg"",""WSpd_Std"",""WDir_Avg"",""WDir_Std"",""AirTemp_Min"",""AirTemp_TMn"",""AirTemp_Max"",""AirTemp_TMx"",""AirTemp_Avg"",""RH_Min"",""RH_TMn"",""RH_Max"",""RH_TMx"",""DewPointTemp_Min"",""DewPointTemp_TMn"",""DewPointTemp_Max"",""DewPointTemp_TMx"",""DewPointTemp_Avg"",""SlrW_Max"",""SlrW_TMx"",""SlrW_Avg"",""SlrMJ_Tot"",""Rain_Tot"",""BPress_Min"",""BPress_TMn"",""BPress_Max"",""BPress_TMx"",""BPress_Avg"",""LoggerSerialNumber"",""ProgramName"",""ProgramSignature"",""LoggerBattery_Min"",""LoggerBattery_TMn"",""LoggerBattery_Max"",""LoggerBattery_TMx"",""LoggerBattery_Avg"",""LoggerTemp_Min"",""LoggerTemp_TMn"",""LoggerTemp_Max"",""LoggerTemp_TMx"",""LoggerTemp_Avg"",""LoggerLithiumBatt_Avg"",""PingTime_Avg"",""ScanCount"",""HI_C_Max"",""HI_C_TMx"",""SVPWkPa_Avg"",""Vp_Avg"",""TwC_Avg"",""SunHrs_Tot"",""WC_C_Min"",""WC_C_TMn"",""ETos"",""Rso"""
"TS,"""",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""m/s"",""Deg"",""Deg"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""%"",""%"",""%"",""%"",""DegC"",""DegC"",""DegC"",""DegC"",""DegC"",""W/m^2"",""W/m^2"",""W/m^2"",""MJ/m^2"",""mm"",""hPa"",""hPa"",""hPa"",""hPa"",""hPa"","""","""","""",""V"",""V"",""V"",""V"",""V"",""degC"",""degC"",""degC"",""degC"",""degC"",""V"",""msec"","""",""Deg C"",""Deg C"",""kPa"","""",""Deg C"",""hours"",""Deg C"",""Deg C"",""mm"",""MJ/m²"""
",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Std"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Max"",""TMx"",""Avg"",""Tot"",""Tot"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Max"",""TMx"",""Avg"",""Avg"",""Avg"",""Tot"",""Min"",""TMn"",""ETXs"",""Rso"""
"2026-08-01 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-07-31 09:39:00"",9.2,""2026-07-31 13:09:00"",2.7,1.1,65.5,55.9,0.6,""2026-07-31 07:00:00"",19.6,""2026-07-31 12:10:00"",11.2,32.3,""2026-07-31 11:58:00"",92.5,""2026-07-31 07:17:00"",-2.4,""2026-07-31 07:00:00"",8.0,""2026-07-31 15:57:00"",4.9,1063.6,""2026-07-31 12:35:00"",237.8,20.5,0.0,771.5,""2026-07-31 15:04:00"",774.6,""2026-07-31 10:01:00"",772.6,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-07-31 06:01:00"",14.3,""2026-07-31 08:20:00"",12.8,5.9,""2026-07-31 05:07:00"",23.6,""2026-07-31 12:47:00"",12.6,3.7,125.2,86400.0,19.6,""2026-07-31 12:10:00"",1.4,0.9,7.7,9.1,2.7,""2026-07-31 05:20:00"",3.0,3.3"
"2026-08-02 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-01 10:46:00"",8.4,""2026-08-01 08:59:00"",2.7,1.0,75.7,41.1,4.0,""2026-08-01 05:50:00"",17.2,""2026-08-01 14:37:00"",9.0,44.7,""2026-08-01 12:36:00"",87.8,""2026-08-01 23:57:00"",-1.4,""2026-08-01 04:58:00"",6.8,""2026-08-01 15:35:00"",3.3,1017.3,""2026-08-01 10:44:00"",206.9,17.9,0.0,770.9,""2026-08-01 03:10:00"",773.7,""2026-08-01 10:30:00"",772.0,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.2,""2026-08-01 05:46:00"",14.3,""2026-08-01 08:12:00"",12.8,3.0,""2026-08-01 06:11:00"",20.9,""2026-08-01 16:03:00"",10.4,3.7,102.4,86400.0,17.2,""2026-08-01 14:37:00"",1.2,0.8,5.9,7.0,0.9,""2026-08-01 05:05:00"",2.4,3.4"
"2026-08-03 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-02 10:33:00"",9.9,""2026-08-02 12:38:00"",3.1,1.1,53.8,46.0,4.2,""2026-08-02 05:37:00"",18.6,""2026-08-02 14:27:00"",9.4,33.2,""2026-08-02 13:00:00"",93.5,""2026-08-02 06:39:00"",1.1,""2026-08-02 13:00:00"",7.4,""2026-08-02 08:28:00"",4.5,954.6,""2026-08-02 12:15:00"",245.6,21.2,0.0,770.3,""2026-08-02 03:38:00"",773.2,""2026-08-02 09:00:00"",771.6,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-02 06:09:00"",14.4,""2026-08-02 08:27:00"",12.8,4.0,""2026-08-02 05:45:00"",22.3,""2026-08-02 15:17:00"",11.1,3.7,99.3,86400.0,18.6,""2026-08-02 14:27:00"",1.2,0.8,6.7,9.4,0.1,""2026-08-02 05:47:00"",2.8,3.4"
"2026-08-04 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-03 10:17:00"",8.4,""2026-08-03 08:14:00"",2.9,1.1,51.4,50.8,5.5,""2026-08-03 09:39:00"",19.3,""2026-08-03 11:51:00"",10.2,47.3,""2026-08-03 11:46:00"",96.2,""2026-08-03 08:40:00"",1.5,""2026-08-03 09:39:00"",10.1,""2026-08-03 09:35:00"",6.7,1091.5,""2026-08-03 10:55:00"",194.5,16.8,0.0,770.5,""2026-08-03 03:37:00"",773.4,""2026-08-03 10:08:00"",772.1,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-03 05:41:00"",14.5,""2026-08-03 10:54:00"",12.8,6.0,""2026-08-03 03:54:00"",23.0,""2026-08-03 13:12:00"",12.0,3.7,101.0,86400.0,19.3,""2026-08-03 11:50:00"",1.3,1.0,8.2,6.6,2.4,""2026-08-03 02:07:00"",2.3,3.4"
"2026-08-05 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-04 10:25:00"",7.7,""2026-08-04 08:23:00"",2.8,1.3,63.2,47.4,6.1,""2026-08-04 02:39:00"",19.2,""2026-08-04 13:48:00"",10.8,49.4,""2026-08-04 13:48:00"",96.3,""2026-08-04 08:18:00"",5.3,""2026-08-04 02:38:00"",9.8,""2026-08-04 09:34:00"",7.5,1051.0,""2026-08-04 11:52:00"",170.6,14.7,0.0,771.9,""2026-08-04 14:59:00"",774.2,""2026-08-04 09:27:00"",772.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-04 06:06:00"",14.4,""2026-08-04 08:57:00"",12.8,6.3,""2026-08-04 02:59:00"",23.3,""2026-08-04 14:24:00"",12.5,3.7,111.5,86400.0,19.2,""2026-08-04 13:49:00"",1.3,1.0,8.9,5.4,3.8,""2026-08-04 02:50:00"",2.1,3.4"
"2026-08-06 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-05 10:18:00"",8.4,""2026-08-05 13:28:00"",3.1,1.0,58.7,55.2,7.3,""2026-08-05 05:53:00"",20.1,""2026-08-05 11:55:00"",11.9,42.7,""2026-08-05 11:41:00"",95.0,""2026-08-05 06:46:00"",6.0,""2026-08-05 10:33:00"",9.6,""2026-08-05 13:31:00"",8.0,910.0,""2026-08-05 11:32:00"",220.7,19.1,0.0,771.5,""2026-08-05 14:36:00"",773.8,""2026-08-05 09:55:00"",772.5,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-05 06:05:00"",14.3,""2026-08-05 08:52:00"",12.8,7.6,""2026-08-05 04:33:00"",24.7,""2026-08-05 12:32:00"",13.7,3.7,102.8,86400.0,20.1,""2026-08-05 11:55:00"",1.4,1.1,9.5,9.2,4.4,""2026-08-05 06:12:00"",2.7,3.4"
"2026-08-07 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-06 11:29:00"",7.7,""2026-08-06 00:51:00"",3.2,1.1,65.7,36.5,9.1,""2026-08-06 05:46:00"",18.8,""2026-08-06 12:56:00"",11.7,55.7,""2026-08-06 12:56:00"",95.6,""2026-08-06 06:03:00"",8.4,""2026-08-06 05:42:00"",11.0,""2026-08-06 13:29:00"",9.4,1185.7,""2026-08-06 11:09:00"",124.8,10.8,0.0,771.6,""2026-08-06 14:21:00"",774.0,""2026-08-06 09:24:00"",772.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-06 06:03:00"",14.5,""2026-08-06 10:46:00"",12.8,9.8,""2026-08-06 06:11:00"",23.0,""2026-08-06 14:00:00"",13.5,3.7,118.0,86400.0,18.8,""2026-08-06 12:57:00"",1.4,1.2,10.3,2.4,6.3,""2026-08-06 05:49:00"",1.5,3.4"
"2026-08-08 00:00:00,""AMRF_Nyika_5828"",0.0,""2026-08-07 11:26:00"",9.9,""2026-08-07 22:09:00"",3.7,1.4,73.2,41.3,1.8,""2026-08-07 09:41:00"",21.0,""2026-08-07 14:51:00"",12.4,45.7,""2026-08-07 15:35:00"",95.7,""2026-08-07 07:41:00"",-5.3,""2026-08-07 09:41:00"",11.0,""2026-08-07 08:53:00"",9.3,1046.1,""2026-08-07 11:53:00"",167.1,14.4,0.0,771.4,""2026-08-07 03:14:00"",774.4,""2026-08-07 09:23:00"",772.8,""48311"",""CPU:AMRF_Nyika_5828_V1R0_20240807 AC.cr1x"",""44744"",12.3,""2026-08-07 06:20:00"",14.4,""2026-08-07 11:12:00"",12.8,9.8,""2026-08-07 03:27:00"",24.1,""2026-08-07 15:41:00"",14.1,3.7,92.1,86400.0,21.0,""2026-08-07 14:51:00"",1.5,1.2,10.5,4.8,6.4,""2026-08-07 23:57:00"",2.0,3.4"
