TOA5,UFS3_Sentinal,,,,,,TableDay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,StationID,WSpd_Min,WSpd_TMn,WSpd_Max,WSpd_TMx,WSpd_Avg,WSpd_Std,WDir_Avg,WDir_Std,AirTemp_Min,AirTemp_TMn,AirTemp_Max,AirTemp_TMx,AirTemp_Avg,RH_Min,RH_TMn,RH_Max,RH_TMx,DewPointTemp_Min,DewPointTemp_TMn,DewPointTemp_Max,DewPointTemp_TMx,DewPointTemp_Avg,SlrW_Max,SlrW_TMx,SlrW_Avg,SlrMJ_Tot,Rain_Tot,BPress_Min,BPress_TMn,BPress_Max,BPress_TMx,BPress_Avg,LoggerSerialNumber,ProgramName,ProgramSignature,LoggerBattery_Min,LoggerBattery_TMn,LoggerBattery_Max,LoggerBattery_TMx,LoggerBattery_Avg,LoggerTemp_Min,LoggerTemp_TMn,LoggerTemp_Max,LoggerTemp_TMx,LoggerTemp_Avg,LoggerLithiumBatt,PingTime_Avg,ScanCount,ETos,Rso,SunHrs_Tot,WC_C_Min,WC_C_TMn
TS,,m/s,m/s,m/s,m/s,m/s,m/s,Deg,Deg,DegC,DegC,DegC,DegC,DegC,%,%,%,%,DegC,DegC,DegC,DegC,DegC,W/m^2,W/m^2,W/m^2,MJ/m^2,mm,hPa,hPa,hPa,hPa,hPa,,,,V,V,V,V,V,degC,degC,degC,degC,degC,,msec,,mm,MJ/m²,hours,Deg C,Deg C
,Smp,Min,TMn,Max,TMx,Avg,Std,WVc,WVc,Min,TMn,Max,TMx,Avg,Min,TMn,Max,TMx,Min,TMn,Max,TMx,Avg,Max,TMx,Avg,Tot,Tot,Min,TMn,Max,TMx,Avg,Smp,Smp,Smp,Min,TMn,Max,TMx,Avg,Min,TMn,Max,TMx,Avg,Smp,Avg,Tot,ETXs,Rso,Tot,Min,TMn
8/1/2026 0:00,UFS_AWS_3_4809,0,7/31/2026 0:00,9.2,7/31/2026 0:00,1.7,1.6,182.8,55.6,-2.3,7/31/2026 0:00,4.3,7/31/2026 0:00,1.3,35.5,7/31/2026 0:00,99.9,7/31/2026 0:00,-12.5,7/31/2026 0:00,1.5,7/31/2026 0:00,-2.6,1106.5,7/31/2026 0:00,181.5,15.7,0,753.5,7/31/2026 0:00,756.4,7/31/2026 0:00,755.3,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.4,7/31/2026 0:00,14.1,7/31/2026 0:00,13.2,1.7,7/31/2026 0:00,16.9,7/31/2026 0:00,8.2,OK ON POWER UP,230.2,86400,1.8,2.6,8.9,-8.1,7/31/2026 0:00
8/2/2026 0:00,UFS_AWS_3_4809,0,8/1/2026 0:00,10.7,8/1/2026 0:00,2.2,1.7,302.9,41.9,2.2,8/1/2026 0:00,10.2,8/1/2026 0:00,6,8.3,8/1/2026 0:00,50.8,8/1/2026 0:00,-25.7,8/1/2026 0:00,-2.7,8/1/2026 0:00,-12.1,731.8,8/1/2026 0:00,202.8,17.5,0,753.3,8/1/2026 0:00,755.8,8/1/2026 0:00,754.5,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.7,8/1/2026 0:00,13.9,8/1/2026 0:00,13.2,2.3,8/1/2026 0:00,22.6,8/1/2026 0:00,12,OK ON POWER UP,238.4,86400,2.3,2.6,9.7,-2.6,8/1/2026 0:00
8/3/2026 0:00,UFS_AWS_3_4809,0,8/2/2026 0:00,12.9,8/2/2026 0:00,1.5,1.8,337.5,73.8,3,8/2/2026 0:00,9,8/2/2026 0:00,5.7,10.4,8/2/2026 0:00,59.1,8/2/2026 0:00,-22.8,8/2/2026 0:00,-1.1,8/2/2026 0:00,-9.8,729.1,8/2/2026 0:00,201.4,17.4,0,751.7,8/2/2026 0:00,753.4,8/2/2026 0:00,752.6,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.6,8/2/2026 0:00,13.9,8/2/2026 0:00,13.2,3.6,8/2/2026 0:00,23.8,8/2/2026 0:00,12.6,OK ON POWER UP,212.2,86400,2.4,2.6,9.7,-0.6,8/2/2026 0:00
8/4/2026 0:00,UFS_AWS_3_4809,0,8/3/2026 0:00,7,8/3/2026 0:00,1.3,1.1,59.3,75.4,3.9,8/3/2026 0:00,11,8/3/2026 0:00,7.2,8.1,8/3/2026 0:00,38.7,8/3/2026 0:00,-25.3,8/3/2026 0:00,-5.5,8/3/2026 0:00,-11.4,732.7,8/3/2026 0:00,201.2,17.4,0,751.1,8/3/2026 0:00,754.5,8/3/2026 0:00,752.8,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.6,8/3/2026 0:00,14,8/3/2026 0:00,13.1,3.9,8/3/2026 0:00,28,8/3/2026 0:00,14,OK ON POWER UP,244.7,86400,2.6,2.7,9.8,1,8/3/2026 0:00
8/5/2026 0:00,UFS_AWS_3_4809,0,8/4/2026 0:00,7,8/4/2026 0:00,1.9,1.5,309.5,78.1,5.6,8/4/2026 0:00,14,8/4/2026 0:00,9.2,14,8/4/2026 0:00,40.8,8/4/2026 0:00,-16.7,8/4/2026 0:00,-4.4,8/4/2026 0:00,-9,740.5,8/4/2026 0:00,203.5,17.6,0,753.3,8/4/2026 0:00,754.8,8/4/2026 0:00,753.9,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.6,8/4/2026 0:00,13.8,8/4/2026 0:00,13.1,7.3,8/4/2026 0:00,27.9,8/4/2026 0:00,16.3,OK ON POWER UP,277.8,86400,2.6,2.7,9.8,1.9,8/4/2026 0:00
8/6/2026 0:00,UFS_AWS_3_4809,0,8/5/2026 0:00,24.9,8/5/2026 0:00,5.2,3.1,284.8,40.2,5.4,8/5/2026 0:00,12.9,8/5/2026 0:00,8.6,16.4,8/5/2026 0:00,39.4,8/5/2026 0:00,-16.5,8/5/2026 0:00,-4.9,8/5/2026 0:00,-7.7,715.2,8/5/2026 0:00,197.8,17.1,0,750.5,8/5/2026 0:00,753.9,8/5/2026 0:00,752.6,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.6,8/5/2026 0:00,14,8/5/2026 0:00,13.2,7.6,8/5/2026 0:00,23,8/5/2026 0:00,14,OK ON POWER UP,224.1,86400,2.1,2.7,9.8,-0.8,8/5/2026 0:00
8/7/2026 0:00,UFS_AWS_3_4809,0,8/6/2026 0:00,10.7,8/6/2026 0:00,2.8,2,289.4,59.6,6.2,8/6/2026 0:00,14.8,8/6/2026 0:00,9.8,25,8/6/2026 0:00,41.6,8/6/2026 0:00,-7.5,8/6/2026 0:00,-3.4,8/6/2026 0:00,-5.8,730.9,8/6/2026 0:00,200.5,17.3,0,753.3,8/6/2026 0:00,756.4,8/6/2026 0:00,754.9,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.6,8/6/2026 0:00,13.9,8/6/2026 0:00,13.1,8.8,8/6/2026 0:00,28.1,8/6/2026 0:00,16.8,OK ON POWER UP,323.6,86400,2.5,2.7,9.8,3,8/6/2026 0:00
8/8/2026 0:00,UFS_AWS_3_4809,0,8/7/2026 0:00,9.2,8/7/2026 0:00,2.4,1.5,278.4,74.3,6.2,8/7/2026 0:00,13.5,8/7/2026 0:00,8.6,32.8,8/7/2026 0:00,79.5,8/7/2026 0:00,-6.2,8/7/2026 0:00,4.8,8/7/2026 0:00,-1.6,711.5,8/7/2026 0:00,192.4,16.6,0,755.6,8/7/2026 0:00,758.2,8/7/2026 0:00,756.7,25856,CPU:UFS_AWS_3_4809_V1R0_20250719.CR300,33629,12.6,8/7/2026 0:00,14,8/7/2026 0:00,13.2,8.4,8/7/2026 0:00,26,8/7/2026 0:00,15,OK ON POWER UP,337.3,86400,2.3,2.7,9.8,2.6,8/7/2026 0:00
